#,Keyword,Page Title (ES — copy exacto),URL Slug,Target Keyword,Secondary Keywords,Main Questions to Answer,Word Count,Internal Links,CTA (ES — copy exacto),Priority
1,academia de inglés madrid,Academia de Inglés en Madrid | Impulse English Academy — Barrio del Pilar,/academia-ingles-madrid/,academia de inglés madrid,"academia inglés, academias de inglés en madrid, escuelas de inglés madrid",¿Cuál es la mejor academia de inglés en Madrid? ¿Qué metodología usan? ¿Tienen profesores nativos? ¿Preparan para Cambridge?,"1,500+","/cursos/, /examenes-cambridge/, /sobre-nosotros/, /contacto/",Reserva tu clase de prueba gratis — sin compromiso,CRITICAL
2,cursos de inglés madrid,Cursos de Inglés en Madrid | Todos los Niveles A1-C2 — Impulse English,/cursos-ingles-madrid/,cursos de inglés madrid,"cursos inglés en madrid, cursos inglés madrid precios, curso de inglés madrid",¿Qué tipos de cursos ofrecen? ¿Cuánto cuestan? ¿Cuándo empiezan? ¿Qué niveles hay?,"1,500+","/cursos/adultos/, /cursos/ninos/, /cursos/intensivos/, /precios/",Elige tu curso — primera clase gratis,CRITICAL
3,clases de inglés madrid,Clases de Inglés en Madrid | Grupos Reducidos con Nativos — Impulse,/clases-ingles-madrid/,clases de inglés en madrid,"clases inglés madrid, clases particulares inglés madrid, clase de inglés madrid",¿Cuántos alumnos por grupo? ¿Ofrecen clases particulares? ¿Cuál es el horario? ¿Qué niveles tienen?,"1,200+","/cursos/, /horarios/, /precios/, /contacto/",Reserva tu plaza — grupos de máximo 8 alumnos,CRITICAL
4,academia inglés cerca de mí,"Academia de Inglés Cerca de Ti | Barrio del Pilar, Madrid Norte",/academia-ingles-cerca/,academia inglés cerca de mí,"academia inglés barrio del pilar, inglés La Vaguada, inglés madrid norte",¿Dónde estáis? ¿Cómo llego en metro/bus? ¿Hay parking? ¿Estáis cerca de La Vaguada?,800+,"/, /contacto/, /horarios/",Estamos a 2 minutos del metro Barrio del Pilar — visítanos,CRITICAL
5,clases inglés online,Clases de Inglés Online en Directo | Profesores Nativos — Impulse,/clases-ingles-online/,clases inglés online,"academia inglés online, cursos inglés online, inglés online con nativos",¿Las clases online son en directo? ¿Qué plataforma usan? ¿Son tan efectivas como presenciales?,"1,000+","/cursos/, /precios/, /metodologia/",Prueba una clase online gratis — desde cualquier lugar,HIGH
6,inglés para empresas madrid,Inglés para Empresas en Madrid | Formación In-Company — Impulse English,/ingles-empresas-madrid/,inglés para empresas madrid,"formación inglés empresas, clases inglés empresa madrid, business english madrid",¿Ofrecen formación in-company? ¿Se adaptan a nuestro sector? ¿Qué resultados consiguen?,"1,200+","/cursos/empresas/, /contacto/, /sobre-nosotros/",Solicita presupuesto sin compromiso para tu empresa,HIGH
7,clases inglés niños madrid,Clases de Inglés para Niños en Madrid | Desde 3 Años — Impulse English,/ingles-ninos-madrid/,clases inglés niños madrid,"academia inglés niños, inglés infantil madrid, extraescolar inglés madrid",¿Desde qué edad? ¿Cuál es la metodología para niños? ¿Preparan exámenes Young Learners?,"1,000+","/cursos/ninos/, /horarios/, /precios/",Apúntale a una clase de prueba gratis — plazas limitadas,HIGH
8,intensivo inglés madrid,Cursos Intensivos de Inglés en Madrid | 1-3 Meses — Impulse English,/curso-intensivo-ingles-madrid/,intensivo inglés madrid,"curso intensivo inglés, inglés intensivo verano madrid, intensivo inglés adultos",¿Cuántas horas al día? ¿En cuánto tiempo subo de nivel? ¿Hay intensivos de verano?,"1,200+","/cursos/intensivos/, /precios/, /horarios/",Reserva tu intensivo — plazas limitadas,HIGH
9,IELTS madrid,Preparación IELTS en Madrid | Cursos con Nativos — Impulse English,/preparacion-ielts-madrid/,IELTS madrid,"preparación IELTS, curso IELTS madrid, IELTS academic madrid",¿Ofrecen preparación IELTS? ¿Academic o General? ¿Cuánto dura el curso? ¿Qué nota consiguen los alumnos?,"1,200+","/examenes-cambridge/, /precios/, /contacto/",Empieza tu preparación IELTS — primera clase gratis,HIGH
10,conversación inglés madrid,Clases de Conversación en Inglés en Madrid | Practica con Nativos,/clases-conversacion-ingles/,conversación inglés madrid,"speaking inglés madrid, práctica oral inglés, conversation club madrid",¿Cómo son las clases de conversación? ¿Cuántos por grupo? ¿Qué temas se tratan?,"1,000+","/cursos/, /horarios/, /precios/",Únete al próximo grupo de conversación — plazas limitadas,HIGH
11,exámenes cambridge madrid,"Exámenes Cambridge en Madrid 2026 | Fechas, Precios y Preparación",/examenes-cambridge-madrid-2026/,exámenes cambridge madrid,"fechas cambridge madrid, centro examinador cambridge, preparación cambridge madrid",¿Cuándo son los exámenes? ¿Cuánto cuestan? ¿Dónde me examino? ¿Cómo me preparo?,"1,500+","/examenes-cambridge/b2-first/, /examenes-cambridge/c1-advanced/, /examenes-cambridge/fechas-precios/",Prepárate con nosotros — tasa de aprobados del 90%,HIGH
